# cleaned to be only USA PHD institutes
Katherine Alatalo	University of California, Berkeley - 2012	Carnegie Observatories/Pasadena
Peter Behroozi	Stanford University - 2012	University of California, Berkeley
Lauren Ilsedore Cleeves	University of Michigan - 2015	Smithsonian Astrophysical Observatory
James Hermes	University of Texas at Austin - 2013	University of North Carolina, Chapel Hill
Tucker Jones	California Institute of Technology - 2012	University of Hawaii at Manoa
Khee-Gan Lee	Princeton University - 2012	Lawrence Berkeley National Laboratory
Michael Line	California Institute of Technology - 2013	NASA Ames Research Center
Adrian Liu	Massachusetts Institute of Technology - 2012	University of California, Berkeley
Andrew Mann	University of Hawaii at Manoa - 2013	University of Texas at Austin
Erik Petigura	University of California, Berkeley - 2015	California Institute of Technology
Timothy Rodigas	University of Arizona - 2013	Carnegie Institute of Washington, DTM
Edward Schlafly	Harvard University - 2012	Lawrence Berkeley National Laboratory
Katherine Whitaker	Yale University - 2012	University of Massachusetts, Amherst
Fabienne Bastien	Vanderbilt University - 2014	Pennsylvania State University
Cora Dvorkin	University of Chicago - 2011	Harvard University
Laura Lopez	University of California, Santa Cruz - 2011	Harvard University
Joseph Neilsen	Harvard University - 2011	Massachusetts Institute of Technology
Evan O'Connor	California Institute of Technology - 2012	North Carolina State University
Amy Reines	University of Virginia - 2011	University of Michigan
Benjamin Shappee	Ohio State University - 2014	Carnegie Observatories
Andrew Skemer	University of Arizona - 2011	University of Arizona
Guangtun Zhu	New York University - 2011	Johns Hopkins University
Rachel Bezanson 	Yale University - 2013 	University of Arizona
Ruobing Dong 	Princeton University - 2013 	Lawrence Berkeley National Laboratory
Jacqueline Faherty 	University of New York, Stony Brook - 2010 	Carnegie Institution of Washington
Renyu Hu 	Massachusetts Institute of Technology - 2013	Jet Propulsion Laboratory
Emily Levesque 	University of Hawaii - 2010 	University of Colorado, Boulder
Adam Miller 	University of California, Berkeley - 2013 	Jet Propulsion Laboratory
Philip Muirhead 	Cornell University - 2011 	Boston University
Ondrej Pejcha 	The Ohio State University - 2013 	Princeton University
Joseph Richards 	Carnegie Mellon University - 2010 	Lawrence Berkeley National Laboratory
Jonathan Trump 	University of Arizona - 2010 	The Pennsylvania State University
Daniel Weisz 	University of Minnesota - 2010 	University of California, Santa Cruz
Jessica Werk 	University of Michigan - 2010 	University of California, Santa Cruz
Zhaohuan Zhu 	University of Michigan - 2011 	Princeton University
Xuening Bai 	Princeton University - 2012 	Smithsonian Astrophysical Observatory
Jennifer Donley 	University of Arizona - 2009 	Los Alamos National Laboratory
Michele Fumagalli 	University of California, Santa Cruz - 2012 	Observatories of the Carnegie Institute of Washington
Xin Liu 	Princeton University - 2010 	University of California, Los Angeles
Michael McDonald 	University of Maryland - 2011 	Massachusetts Institute of Technology
Matthew McQuinn 	Harvard University - 2009 	University of California, Berkeley
Stella Offner 	University of California, Berkeley - 2009 	Yale University
Steven Rodney 	University of Hawaii - 2010 	The Johns Hopkins University
Leslie Rogers 	Massachusetts Institute of Technology - 2012 	California Institute of Technology
Yue Shen 	Princeton University - 2009 	Observatories of the Carnegie Institute of Washington
James Steiner 	Harvard University - 2012 	Smithsonian Astrophysical Observatory
Erik Tollerud 	University of California, Irvine - 2012 	Yale University
Gurtina Besla 	Harvard University - 2011 	Columbia University
Jo Bovy 	New York University - 2011 	Princeton, Institute for Advanced Study
Sean Couch 	University of Texas, Austin 2010 	University of Chicago
Steven Finkelstein 	Arizona State - 2008 	University of Texas, Austin
Linhua Jiang 	University of Arizona - 2008 	Arizona State University
Jeyhan Kartaltepe 	University of Hawaii 2009 	National Optical Astronomy Observatory – Tucson
Mansi Kasliwal 	California Institute of Technology - 2011 	Carnegie
Joshua Peek 	UCS - 2008 	Columbia University
Daniel Perley 	University of California, Berkeley - 2011 	California Institute of Technology
Roman Shcherbakov 	Harvard University - 2011 	University of Maryland
Daniel Stark 	California Institute of Technology - 2008 	University of Arizona
John Tobin 	University of Michigan 2011 	National Radio Astronomy Observatory
Joshua Carter 	Massachusetts Institute of Technology - 2009 	Smithsonian Astrophysical Observatory
Caitlin Casey 	University of Cambridge - 2010 	University of Hawaii, Institute for Astronomy
Michael Cooper 	University of California, Berkeley - 2007 	University of California, Irvine
Trent Dupuy 	University of Hawaii - 2010 	Smithsonian Astrophysical Observatory
Daniel Fabrycky 	Princeton University - 2007 	University of California, Santa Cruz
Karoline Gilbert 	University of California, Santa Cruz - 2008 	University of Washington
Henry Hsieh 	University of Hawaii - 2007 	University of Hawaii, Institute for Astronomy
Ryan Keisler 	University of Chicago - 2010 	University of Chicago
Dusan Keres 	University of Massachusetts - 2007 	University of California, Berkeley
Maryam Modjaz 	Harvard University - 2007 	Columbia University
Ryan Quadri 	Yale University - 2007 	Observatories of the Carnegie Institute of Washington
Beth Reid 	Princeton University - 2008 	Lawrence Berkeley National Laboratory
Hilke Schlichting 	California Institute of Technology - 2009 	University of California, Los Angeles
Matthew Walker 	University of Michigan 2007 	Harvard College Observatory
Stephen Ammons 	University of California, Santa Cruz 2009 	University of Arizona
Misty Bentz 	The Ohio State University - 2007 	University of California, Irvine
Tabetha Boyajian 	Georgia State University - 2009 	Georgia State University
Kevin Covey 	University of Washington 2006 	Cornell University
Kristian Finlator 	University of Arizona 2009 	University of California, Santa Barbara
Mario Juric 	Princeton University - 2007 	Harvard University
Evan Kirby 	University of California, Santa Cruz 2009 	California Institute of Technology
Adam Kraus 	California Institute of Technology - 2009 	University of Hawaii
Adam Leroy 	University of California, Berkeley - 2006 	National Radio Astronomy Observatory
Daniel Marrone 	Harvard University - 2006 	University of Chicago
Jose Prieto 	The Ohio State University - 2009 	Observatories of the Carnegie Institute of Washington Pasadena
Brant Robertson 	Harvard University - 2006 	California Institute of Technology
Lisa Winter 	University of Maryland 2008 	University of Colorado Boulder
John Wise 	Stanford University - 2007 	Princeton University
Shelley Wright 	University of California, Los Angeles 2008 	University of California, Berkeley
Joshua Younger 	Harvard University - 2009 	Princeton, Institute for Advanced Study
Kevin Bundy 	California Institute of Technology - 2006 	University of California, Berkeley
Julio Chaname 	The Ohio State University - 2005 	Carnegie DTM
Richard Cool 	University of Arizona 2008 	Princeton Unversity
Suvi Gezari 	Columbia University - 2005 	The Johns Hopkins University
Brandon Kelly 	University of Arizona 2008 	Smithsonian Astrophysical Observatory
David Law 	California Institute of Technology - 2008 	University of California, Los Angeles
Andrei Mesinger 	Columbia University - 2006 	Princeton University
Naveen Reddy 	California Institute of Technology - 2006 	National Optical Astronomy Observatory
Emily Schaller 	California Institute of Technology - 2008 	University of Hawaii
Louis Strigari 	The Ohio State University - 2005 	Stanford University
Jong-Hak Woo 	Yale University - 2005 	University of California, Los Angeles
Sean Andrews 	University of Hawaii - 2007 	Smithsonian Astrophysical Observatory
Beth Biller 	University of Arizona - 2007 	University of Hawaii, Institute for Astronomy
Judd Bowman 	Massachusetts Institute of Technology - 2007 	California Institute of Technology
David Kaplan 	California Institute of Technology - 2004 	Massachusetts Institute of Technology Kavli Institute
Daniel Kasen 	University of California, Berkeley - 2004 	University of California, Santa Cruz
Mercedes Lopez-Morales 	University of North Carolina, Chapel Hill - 2004 	Carnegie DTM
Jonathan Pritchard 	California Institute of Technology - 2007 	Harvard University
Alicia Soderberg 	California Institute of Technology - 2007 	Princeton University
Jay Strader 	University of California, Santa Cruz 2007 	Harvard University
Eric Ford 	Princeton University - 2003 	Center for Astrophysics
Jenny Greene 	Harvard University - 2006 	Princeton University
Juna Kollmeier 	The Ohio State University - 2006 	Observatories of the Carnegie Institute of Washington
Janice Lee 	University of Arizona 2006 	National Optical Astronomy Observatory
Rachel Mandelbaum 	Princeton University - 2006 	Princeton, Institute for Advanced Study
Nikhil Padmanabhan 	Princeton University - 2005 	Lawrence Berkeley National Laboratory
Alison Coil 	University of California, Berkeley - 2004 	University of Arizona
Jeremiah Darling 	Cornell University - 2002 	University of Colorado
Mark Krumholz 	University of California, Berkeley - 2005 	Princeton University
Jeong-Eun Lee 	University of Texas 2005 	University of California, Los Angeles
Milos Milosavljevic 	Rutgers 2002 	California Institute of Technology
Rachel Osten 	University of Colorado 2002 	University of Washington
Seth Redfield 	University of Colorado 2003 	University of Texas
Kris Sigurdson 	California Institute of Technology - 2005 	Princeton, Institute for Advanced Study
Christy Tremonti 	The Johns Hopkins - 2003 	University of Arizona
Edo Berger 	California Institute of Technology - 2004 	Carnegie Institute of Washington
Joseph Hennawi 	Princeton University - 2004 	University of California, Berkeley
Kelsey Johnson 	University of Colorado 2001 	University of Wisconsin - Madison
Anjum Mukadam 	University of Texas Austin 2004 	University of Washington
Hiranya Peiris 	Princeton University - 2003 	University of Chicago
Scott Sheppard 	University of Hawaii 2004 	Carnegie Institute of Washington
Aristotle Socrates 	University of California, Santa Barbara 2004 	Princeton University
Joshua Winn 	Massachusetts Institute of Technology - 2001 	Harvard College Observatory
Zheng Zheng 	The Ohio State University - 2004 	Princeton, Institute for Advanced Study
Marla Geha 	University of California, Santa Cruz 2003 	Carnegie
Jason Harris 	University of California, Santa Cruz 2000 	University of Arizona
Wynn Ho 	Cornell University - 2003 	Stanford University
Marc Kuchner 	California Institute of Technology - 2000 	Princeton University
Michael Muno 	Massachusetts Institute of Technology - 2003 	University of California, Los Angles
Jeffrey Newman 	University of California, Berkeley - 2000 	Lawrence Berkeley National Laboratory
Nathan Smith 	University of Minnesota 2002 	University of Colorado
Risa Wechsler 	University of California, Santa Cruz 2001 	University of Chicago
Qingjuan Yu 	Princeton University - 2002 	University of California, Berkeley
James Bullock 	University of California, Santa Cruz 1999 	Center for Astrophysics
Hsiao-Wen Chen 	State University of New York, Stony Brook - 1999 	Massachusetts Institute of Technology
Neal Dalal 	University of California, San Diego 2002 	Princeton, Institute for Advanced Study
Inese Ivans 	University of Texas - 2002 	California Institute of Technology
Michael Liu 	University of California, Berkeley - 2000 	University of Hawaii
Lucas Macri 	Harvard University - 2001 	National Optical Astronomy Observatory
Robert Metcalf 	University of California, Berkeley - 1999 	University of California, Santa Cruz
Feryal Ozel 	Harvard University - 2002 	Princeton, Institute for Advanced Study
Todd Thompson 	University of Arizona - 2002 	University of California, Berkeley
Aaron Barth 	University of California, Berkeley - 1998 	California Institute of Technology
Elizabeth Barton 	Harvard University - 1999 	University of Arizona
Adam Burgasser 	California Institute of Technology - 2001 	University of California, Los Angeles
Andrew Cumming 	University of California, Berkeley - 2000 	University of California, Santa Cruz
Mario Hamuy 	University of Arizona - 2001 	Observatories of the Carnegie Institute of Washington
Charles Keeton  	Harvard University - 1998 	University of Chicago
Jason Prochaska 	University of California, San Diego - 1998 	Observatories of the Carnegie Institute of Washington
Constance Rockosi 	University of Chicago - 2001 	University of Washington
Keivan Stassun  	University of Wisconsin - 2000 	University of Wisconsin
Eugene Chiang 	California Institute of Technology - 2000 	Princeton, Institute for Advanced Study
Romeel Dave 	University of California, Santa Cruz 1998 	University of Arizona
Douglas Finkbeiner 	University of California, Berkeley - 1999 	University of California, Berkeley
B Gaudi 	The Ohio State University - 2000 	Princeton, Institute for Advanced Study
Amber Miller 	Princeton University - 2000 	University of Chicago
Daniel Reichart  	University of Chicago - 2000 	California Institute of Technology
Daniel Eisenstein 	Harvard University - 1996 	University of Chicago
Zoltan Haiman 	Harvard University - 1998 	Princeton University
Brad Hansen 	California Institute of Technology - 1996 	Princeton University
Andrey Kravtsov 	New Mexico State University - 1999 	The Ohio State University
