# from http://www.stsci.edu/institute/smo/fellowships/hubble/fellows-list/
#
Fabienne Bastien	Vanderbilt University - 2014	Pennsylvania State University
Matteo Brogi	Leiden University - 2014	University of Colorado
Michelle Collins	Institute of Astronomy, Cambridge - 2011	Yale University
Ryan Cooke	University of Cambridge - 2011	University of California, Santa Cruz
Cora Dvorkin	University of Chicago - 2011	Harvard University
Shy Genel	Ludwig Maximilians University, Munich - 2011	Columbia University
Laura Lopez	University of California, Santa Cruz - 2011	Harvard University
Joseph Neilsen	Harvard University - 2011	Massachusetts Institute of Technology
Evan O'Connor	California Institute of Technology - 2012	North Carolina State University
Georgiana Ogrean	University of Hamburg - 2013	Smithsonian Astrophysical Observatory
James Owen	University of Cambridge - 2011	Institute for Advanced Study
Amy Reines	University of Virginia - 2011	University of Michigan
Benjamin Shappee	Ohio State University - 2014	Carnegie Observatories
Andrew Skemer	University of Arizona - 2011	University of Arizona
Sjoert Van Velzen	Radboud University Nijmegen - 2014	Johns Hopkins University
Guangtun Zhu	New York University - 2011	Johns Hopkins University
2013 HUBBLE FELLOWS
Name 	Ph.D. Institution 	Host Institution
Rachel Bezanson 	Yale University - 2013 	University of Arizona
Francesca DeMeo 	Observatoire de Paris - 2010 	Harvard College Observatory
Ruobing Dong 	Princeton University - 2013 	Lawrence Berkeley National Laboratory
Jacqueline Faherty 	University of New York, Stony Brook - 2010 	Carnegie Institution of Washington
Renyu Hu 	Massachusetts Institute of Technology - 2013	Jet Propulsion Laboratory
Andreas Kuepper 	University of Bonn - 2011 	Columbia University
Emily Levesque 	University of Hawaii - 2010 	University of Colorado, Boulder
Adam Miller 	University of California, Berkeley - 2013 	Jet Propulsion Laboratory
Philip Muirhead 	Cornell University - 2011 	Boston University
Ondrej Pejcha 	The Ohio State University - 2013 	Princeton University
Joseph Richards 	Carnegie Mellon University - 2010 	Lawrence Berkeley National Laboratory
Pier-Emmanuel Tremblay	University of Montreal - 2011 	Space Telescope Science Institute
Jonathan Trump 	University of Arizona - 2010 	The Pennsylvania State University
Daniel Weisz 	University of Minnesota - 2010 	University of California, Santa Cruz
Jessica Werk 	University of Michigan - 2010 	University of California, Santa Cruz
Zhaohuan Zhu 	University of Michigan - 2011 	Princeton University
Adi Zitrin 	Tel Aviv University - 2012 	California Institute of Technology
2012 HUBBLE FELLOWS
Name 	Ph.D. Institution 	Host Institution
Xuening Bai 	Princeton University - 2012 	Smithsonian Astrophysical Observatory
Alis Deason 	University of Cambridge - 2012 	University of California, Santa Cruz
Jennifer Donley 	University of Arizona - 2009 	Los Alamos National Laboratory
Robert Feldmann 	Eidgenossiche Technische Hochschule, Zurich - 2010	University of California, Berkeley
Michele Fumagalli 	University of California, Santa Cruz - 2012 	Observatories of the Carnegie Institute of Washington
Kaitlin Kratter 	University of Toronto - 2010 	University of Colorado
Xin Liu 	Princeton University - 2010 	University of California, Los Angeles
