'name', 'phd year', 'phd bibcode', 'phd aff','latest year','latest aff', 'latest 1st year','latest 1st aff', 'largest publication gap',                  'numRecords','numLinked', 'uniqueName', 'latest year unlinked',                  'noAstroJournal', 'nonUS'
Ageorges, N;; 1995;; 1995PhDT........89A;; garblegarblestring ;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Klaassen, C;; 1995;; 1995PhDT.......201K;; Utrecht University;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Howell, S;; 1995;; 1995PhDT.......182H;; University of Amsterdam;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Puerari, I;; 1995;; 1995PhDT.......135P;; OBSERVATOIRE DE MARSEILLE (FRANCE);; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Gontcharov, G;; 1995;; 1995PhDT..........G;; Pulkovo Observatory, Saint-Petersburg, Russia;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Allen, L;; 1995;; 1995PhDT..........A;; School of Physics, University of New South Wales, Sydney, NSW 2052, Australia;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Bakker, E;; 1995;; 1995PhDT..........B;; University of Utrecht Space Research Utrecht;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Curry, C;; 1995;; 1995PhDT........33C;; 601 Campbell Hall, Department of Astronomy, University of California, Berkeley, California, USA 94720-3411;; 1997;; Department of Physics and Astronomy, McMaster University, Hamilton, Ontario L8S 4M1, Canada;; 1997;; None;; 2;; 29;; 8;; True;; 2007;; None;; None
Mundell, C;; 1995;; 1995PhDT.........2M;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Oosterbroek, T;; 1995;; 1995PhDT........55O;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Oudmaijer, R;; 1995;; 1995PhDT........58O;; University of Groningen;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Shalabiea, O;; 1995;; 1995PhDT........92S;; Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Koerner, D;; 1995;; 1995PhDT.........4K;; 169-506 Jet Propulsion Laboratory, Pasadena, CA 91009;;; 2014;; Department of Physics and Astronomy, Northern Arizona University, P.O. Box 6010, Flagstaff, AZ 86011-6010;; 2010;; None;; 1;; 140;; 130;; True;; 2014;; None;; None
Lemson, G;; 1995;; 1995PhDT.......239L;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Bergin, E;; 1995;; 1995PhDT........20B;; Smithsonian Astrophysical Observatory M/S 66, 60 Garden St., Cambridge, MA 02138-1596, USA;; 2016;; Department of Astronomy, University of Michigan, 500 Church Street, Ann Arbor, MI 48109, U.S.A.;; 2015;; None;; 10;; 334;; 254;; True;; 2016;; None;; None
Muders, D;; 1995;; 1995PhDT.......219M;; garblegarblestring ;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Han, Z;; 1995;; 1995PhDT.......181H;; University of Cambridge;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Erisman, J;; 1995;; 1995PhDT.........1W;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Robijn, F;; 1995;; 1995PhDT.......119R;; Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Carey, S;; 1995;; 1995PhDT..........C;; Rensselaer Polytechnic Institute, Troy, NY;; None;; None;; None;; None;; None;; 359;; 10;; None;; None;; True;; None
Jansen, D;; 1995;; 1995PhDT.......310J;; Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
garblegarblestring ;; 1995;; 1995PhDT.......196B;; Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Kirkwood, B;; 1995;; 1995PhDT.......196K;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Knigge, C;; 1995;; 1995PhDT.......197K;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Krennrich, F;; 1995;; 1995PhDT.......198K;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Usadi, A;; 1995;; 1995PhDT.........1U;; RICE UNIVERSITY.;; None;; None;; None;; None;; None;; 7;; None;; None;; None;; True;; None
Van leeuwen, W;; 1995;; 1995PhDT.........1V;; THE UNIVERSITY OF ARIZONA.;; None;; None;; None;; None;; None;; 4;; None;; None;; None;; True;; None
Rola, C;; 1995;; 1995PhDT.........1R;; DAEC, Observatoire de Meudon, Place Jules Janssen, 92195 Meudon Cedex, France;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Dutkevitch, D;; 1995;; 1995PhDT..........D;; Dearborn Observatory, Northwestern University, 2131 Sheridan Road, Evanston, IL 60208-2900, USA;; None;; None;; None;; None;; None;; 11;; None;; None;; None;; True;; None
Koehler, M;; 1995;; 1995PhDT.......200K;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Surlantzis, G;; 1995;; 1995PhDT.......351S;; University of Crete, Department of Physics, Greece;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Ramsay, G;; 1995;; 1995PhDT.......125R;; Mullard Space Science Laboratory, University College London, Holmbury St. Mary, Dorking, Surrey RH5 6NT, UK;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Yokoyama, T;; 1995;; 1995PhDT........74Y;; Graduate Univ. for Advanced Studies, National Astronomical Observatory;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Pavlakis, K;; 1995;; 1995PhDT.......136P;; University of Crete, Department of Physics, Leof. Knossou (P. O. Box 2208), 71409 Heraklion, Crete, Greece;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Kuulkers, E;; 1995;; 1995PhDT.......199K;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Den hartog, R;; 1995;; 1995PhDT.......138D;; Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Codella, C;; 1995;; 1995PhDT.......249C;; garblegarblestring ;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Hillenbrand, L;; 1995;; 1995PhDT.........1H;; University of California; Department of Astronomy; 601 Campbell Hall; Berkeley, CA 94720;; 2016;; Astrophysics Department, California Institute of Technology, Pasadena, CA 91125, USA;; 2015;; None;; 8;; 294;; 222;; True;; 2016;; None;; None
Richards, A;; 1995;; 1995PhDT........13R;; UNIVERSITY OF CALIFORNIA, BERKELEY.;; None;; None;; None;; None;; None;; 44;; None;; None;; None;; True;; None
Boufaida, M;; 1995;; 1995PhDT........14B;; UNIVERSITY OF KANSAS.;; None;; None;; None;; None;; None;; 3;; None;; None;; None;; True;; None
Choi, M;; 1995;; 1995PhDT........14C;; THE UNIVERSITY OF TEXAS AT AUSTIN.;; None;; None;; None;; None;; None;; 112;; None;; None;; None;; True;; None
Ding, C;; 1995;; 1995PhDT........14D;; RICE UNIVERSITY.;; None;; None;; None;; None;; None;; 8;; 1;; None;; None;; True;; None
Guo, X;; 1995;; 1995PhDT........14G;; Yale University.;; None;; None;; None;; None;; None;; 79;; 9;; None;; None;; True;; None
Howard, A;; 1995;; 1995PhDT........14H;; PRINCETON UNIVERSITY.;; None;; None;; None;; None;; None;; 65;; None;; None;; None;; True;; None
Lee, H;; 1995;; 1995PhDT........14L;; CALIFORNIA INSTITUTE OF TECHNOLOGY.;; 2015;; Department of Physics and Astronomy, Sejong University, Korea;; 2014;; None;; 1;; 211;; 125;; False;; 2015;; None;; None
Slowik, D;; 1995;; 1995PhDT........14S;; STATE UNIVERSITY OF NEW YORK AT STONY BROOK.;; None;; None;; None;; None;; None;; 9;; None;; None;; None;; True;; None
Westphall, M;; 1995;; 1995PhDT........14W;; WASHINGTON UNIVERSITY.;; None;; None;; None;; None;; None;; 4;; None;; None;; None;; True;; None
Bandler, S;; 1995;; 1995PhDT........15B;; BROWN UNIVERSITY.;; None;; None;; None;; None;; None;; 89;; None;; None;; None;; True;; None
De laix, A;; 1995;; 1995PhDT........15D;; THE OHIO STATE UNIVERSITY.;; None;; None;; None;; None;; None;; 12;; None;; None;; None;; True;; None
Ikebe, Y;; 1995;; 1995PhDT........15I;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Kozusko, F;; 1995;; 1995PhDT........15K;; OLD DOMINION UNIVERSITY.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Marchenko, V;; 1995;; 1995PhDT........15M;; DARTMOUTH COLLEGE.;; None;; None;; None;; None;; None;; 14;; 2;; None;; None;; True;; None
Roettiger, K;; 1995;; 1995PhDT........15R;; NEW MEXICO STATE UNIVERSITY.;; 2002;; University of Missouri;; 2000;; None;; 2;; 48;; 46;; True;; 2002;; None;; None
Sfatos, C;; 1995;; 1995PhDT........15S;; HARVARD UNIVERSITY.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Bauer, G;; 1995;; 1995PhDT........16B;; UNIVERSITY OF OREGON.;; None;; None;; None;; None;; None;; 10;; None;; None;; None;; True;; None
Dzegilenko, F;; 1995;; 1995PhDT........16D;; THE OHIO STATE UNIVERSITY.;; None;; None;; None;; None;; None;; 3;; None;; None;; None;; True;; None
Henderson, B;; 1995;; 1995PhDT........16H;; UNIVERSITY OF COLORADO AT BOULDER.;; None;; None;; None;; None;; None;; 30;; None;; None;; None;; True;; None
Keane, T;; 1995;; 1995PhDT........16K;; RENSSELAER POLYTECHNIC INSTITUTE.;; None;; None;; None;; None;; None;; 6;; None;; None;; None;; True;; None
Pearce, S;; 1995;; 1995PhDT........16P;; THE UNIVERSITY OF ARIZONA.;; None;; None;; None;; None;; None;; 10;; 1;; None;; None;; True;; None
Stephens, S;; 1995;; 1995PhDT........16S;; CALIFORNIA INSTITUTE OF TECHNOLOGY.;; None;; None;; None;; None;; None;; 51;; 15;; None;; None;; True;; None
Shalit, D;; 1995;; 1995PhDT.........9S;; BOSTON UNIVERSITY.;; None;; None;; None;; None;; None;; 3;; None;; None;; None;; True;; None
Tian, Y;; 1995;; 1995PhDT.........9T;; OKLAHOMA STATE UNIVERSITY.;; None;; None;; None;; None;; None;; 16;; 1;; None;; None;; True;; None
Childs, M;; 1995;; 1995PhDT........10C;; THE UNIVERSITY OF WISCONSIN - MADISON.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
